symbol,github,langs,contributors,tags
DOT,https://github.com/paritytech/polkadot,"Rust, Shell, Ruby, Dockerfile, JavaScript, Handlebars","https://github.com/rphmeier, https://github.com/ordian, https://github.com/shawntabrizi, https://github.com/eskimor, https://github.com/kianenigma, https://github.com/s3krit, https://github.com/KiChjang, https://github.com/sandreim, https://github.com/thiolliere, https://github.com/coderobe, https://github.com/mrcnski, https://github.com/montekki, https://github.com/TriplEight, https://github.com/pepoviola, https://github.com/acatangiu, https://github.com/emostov, https://github.com/niklasad1, https://github.com/joepetrowski, https://github.com/tomusdrw, https://github.com/vstakhov, https://github.com/mxinden, https://github.com/joao-paulo-parity, https://github.com/shaunxw, https://github.com/gilescope, https://github.com/muharem, https://github.com/sergejparity, https://github.com/skunert, https://github.com/koushiro, https://github.com/adoerr, https://github.com/athei, https://github.com/liamaharon, https://github.com/radupopa2010, https://github.com/Szegoo, https://github.com/lexnv, https://github.com/sorpaas, https://github.com/svyatonik, https://github.com/ddorgan, https://github.com/serban300, https://github.com/stanislav-tkach, https://github.com/Ank4n, https://github.com/rossbulat, https://github.com/liuchengxu, https://github.com/seunlanlege, https://github.com/bredamatt, https://github.com/melekes, https://github.com/NukeManDan, https://github.com/AurevoirXavier, https://github.com/gguoss, https://github.com/fgimenez, https://github.com/0x7CFE, https://github.com/bkchr, https://github.com/gavofyork, https://github.com/apps/dependabot, https://github.com/pepyakin, https://github.com/drahnr, https://github.com/andresilva, https://github.com/ggwpez, https://github.com/tomaka, https://github.com/coriolinus, https://github.com/chevdor, https://github.com/arkpar, https://github.com/alvicsam, https://github.com/tdimitrov, https://github.com/expenses, https://github.com/Lldenaurois, https://github.com/xlc, https://github.com/slumber, https://github.com/cecton, https://github.com/gabreal, https://github.com/apopiak, https://github.com/koute, https://github.com/michalkucharczyk, https://github.com/gnunicorn, https://github.com/davxy, https://github.com/BradleyOlson64, https://github.com/s0me0ne-unkn0wn, https://github.com/ferrell-code, https://github.com/altaua, https://github.com/HCastano, https://github.com/cheme, https://github.com/NikVolf, https://github.com/bkontur, https://github.com/altonen, https://github.com/octol, https://github.com/dmitry-markin, https://github.com/4meta5, https://github.com/PierreBesson, https://github.com/franciscoaguirre, https://github.com/dvdplm, https://github.com/rcny, https://github.com/ruseinov, https://github.com/hirschenberger, https://github.com/zjb0807, https://github.com/ascjones, https://github.com/AndreiEres, https://github.com/Doordashcon, https://github.com/nazar-pc, https://github.com/saki-osive, https://github.com/rakanalh, https://github.com/twittner","Substrate, Three Arrows Capital Portfolio, Polychain Capital Portfolio, Arrington XRP Capital Portfolio, Blockchain Capital Portfolio, BoostVC Portfolio, CMS Holdings Portfolio, Coinfund Portfolio, Fabric Ventures Portfolio, Fenbushi Capital Portfolio, Hashkey Capital Portfolio, Kenetic Capital Portfolio, 1Confirmation Portfolio, Placeholder Ventures Portfolio, Pantera Capital Portfolio, Exnetwork Capital Portfolio, Spartan Group, Layer 1, Web3, Polkadot, Binance Chain, Polkadot Ecosystem, Injective Ecosystem, BNB Chain"
DAI,unknown,,,"DeFi, Stablecoin, Asset-Backed Stablecoin, USD Stablecoin, Ethereum Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Fantom Ecosystem, Arbitrum Ecosystem, Harmony Ecosystem, Moonriver Ecosystem, BNB Chain, Optimism Ecosystem"
MATIC,https://github.com/maticnetwork/contracts,,,"PoS, Platform, Zero Knowledge Proofs, Scaling, State Channel, Coinbase Ventures Portfolio, Layer 2, Binance Launchpad, Binance Labs Portfolio, FTX Bankruptcy Estate, SEC Security Token, Alleged SEC Securities, Enterprise Solutions, Polygon Ecosystem, Moonriver Ecosystem, Injective Ecosystem"
TON,https://github.com/ton-blockchain,,,"PoS, FTX Bankruptcy Estate, DWF Labs Portfolio, Toncoin Ecosystem"
LTC,https://github.com/litecoin-project/litecoin,"C++, Python, C, Assembly, M4, Shell","https://github.com/sipa, https://github.com/jnewbery, https://github.com/jonasschnelli, https://github.com/gavinandresen, https://github.com/achow101, https://github.com/hebasto, https://github.com/promag, https://github.com/non-github-bitcoin, https://github.com/morcos, https://github.com/kallewoof, https://github.com/jtimon, https://github.com/dongcarl, https://github.com/paveljanik, https://github.com/petertodd, https://github.com/DavidBurkett, https://github.com/pstratem, https://github.com/meshcollider, https://github.com/amitiuttarwar, https://github.com/JeremyRubin, https://github.com/jimpo, https://github.com/sipsorcery, https://github.com/rebroad, https://github.com/btcdrak, https://github.com/CodeShark, https://github.com/glozow, https://github.com/gwillen, https://github.com/dexX7, https://github.com/dgenr8, https://github.com/darosior, https://github.com/AkioNak, https://github.com/mrbandrews, https://github.com/danra, https://github.com/sdkfjlsfjlskdfjlsdjflsjf, https://github.com/emilengler, https://github.com/icota, https://github.com/skeees, https://github.com/jimmysong, https://github.com/brakmic, https://github.com/ENikS, https://github.com/benthecarman, https://github.com/jachiang, https://github.com/murrayn, https://github.com/nomnombtc, https://github.com/dcousens, https://github.com/adamjonas, https://github.com/wizeman, https://github.com/merland, https://github.com/lucash-dev, https://github.com/S3RK, https://github.com/Michagogo, https://github.com/laanwj, https://github.com/practicalswift, https://github.com/theuni, https://github.com/TheBlueMatt, https://github.com/fanquake, https://github.com/luke-jr, https://github.com/ryanofsky, https://github.com/sdaftuar, https://github.com/jonatack, https://github.com/gmaxwell, https://github.com/instagibbs, https://github.com/Empact, https://github.com/Sjors, https://github.com/ken2812221, https://github.com/jamesob, https://github.com/ajtowns, https://github.com/theStack, https://github.com/thrasher-, https://github.com/cozz, https://github.com/domob1812, https://github.com/vasild, https://github.com/fjahr, https://github.com/NicolasDorier, https://github.com/muggenhor, https://github.com/jl2012, https://github.com/dooglus, https://github.com/kazcw, https://github.com/naumenkogs, https://github.com/wtogami, https://github.com/mruddy, https://github.com/eklitzke, https://github.com/harding, https://github.com/super3, https://github.com/kdomanski, https://github.com/casey, https://github.com/scravy, https://github.com/elichai, https://github.com/maaku, https://github.com/troygiorshev, https://github.com/kristapsk, https://github.com/str4d, https://github.com/tjps, https://github.com/jkczyz, https://github.com/ch4ot1c, https://github.com/codler, https://github.com/Bushstar, https://github.com/andrewtoth, https://github.com/mess110, https://github.com/EthanHeilman, https://github.com/l2a5b1","PoW, Scrypt, Medium of Exchange, Mineable"
SHIB,unknown,,,
WBTC,https://github.com/WrappedBTC/bitcoin-token-smart-contracts,"JavaScript, Solidity","https://github.com/silalvado, https://github.com/FabianSimtlix, https://github.com/sachushaji, https://github.com/fabiohild, https://github.com/talbaneth, https://github.com/yaronvel, https://github.com/ipelaez-simtlix, https://github.com/AndrewDrury","DeFi, FTX Bankruptcy Estate, Medium of Exchange, Wrapped Tokens, Fantom Ecosystem, Arbitrum Ecosystem, Moonriver Ecosystem, Optimism Ecosystem, Bitcoin Ecosystem"
BCH,https://gitlab.com/bitcoin-cash-node/,,,"PoW, SHA-256, Store Of Value, Layer 1, Marketplace, Medium of Exchange, Enterprise Solutions, Payments, Mineable, Bitcoin Ecosystem"
LEO,unknown,,,"Centralized Exchange (CEX) Token, Discount Token, Kenetic Capital Portfolio, Alameda Research Portfolio, Marketplace, Payments"
AVAX,https://github.com/ava-labs/avalanchego,Go,"https://github.com/danlaine, https://github.com/abi87, https://github.com/ceyonur, https://github.com/moreati, https://github.com/charlie-ava, https://github.com/joshua-kim, https://github.com/hexfusion, https://github.com/darioush, https://github.com/galenmarchetti, https://github.com/cinterloper, https://github.com/tyler-smith, https://github.com/0x486F626F, https://github.com/felipemadero, https://github.com/adasari, https://github.com/0xK4d1r, https://github.com/5b93b7b959e6d554f8f37de02c389e98af42b01, https://github.com/benber86, https://github.com/cmontag, https://github.com/ElectricPanda, https://github.com/rkuris, https://github.com/najeal, https://github.com/jpop32, https://github.com/kyl27, https://github.com/arturrez, https://github.com/fentoncryptoshell, https://github.com/Sanghren, https://github.com/amirhasanzadehpy, https://github.com/dshiell, https://github.com/morrisettathena, https://github.com/meaghanfitzgerald, https://github.com/richardpringle, https://github.com/philipglazman, https://github.com/itinance, https://github.com/rajranjan0608, https://github.com/snyk-bot, https://github.com/snowbot, https://github.com/sanderpick, https://github.com/akly, https://github.com/cryptonote-social, https://github.com/liraxapp, https://github.com/remigastaldi, https://github.com/saurik, https://github.com/gubatron, https://github.com/zramsay, https://github.com/StephenButtolph, https://github.com/aaronbuchwald, https://github.com/manthanhd, https://github.com/otherview, https://github.com/gyuho, https://github.com/dhrubabasu, https://github.com/patrick-ogrady, https://github.com/obbap1, https://github.com/dboehm-avalabs, https://github.com/holisticode, https://github.com/Determinant, https://github.com/yulin-dong, https://github.com/coffeeavax, https://github.com/marun, https://github.com/pubwyse, https://github.com/swdee, https://github.com/whirlig1g, https://github.com/bb-2, https://github.com/cgcardona, https://github.com/anusha-ctrl, https://github.com/apps/dependabot, https://github.com/dasconnor, https://github.com/Shashank-In, https://github.com/michaelkaplan13, https://github.com/zhiqiangxu, https://github.com/yevhenvolchenko, https://github.com/nytzuga, https://github.com/exdx, https://github.com/eltociear, https://github.com/tonyqzhang, https://github.com/krakxn, https://github.com/minghinmatthewlam, https://github.com/cam-schultz, https://github.com/xc-ava, https://github.com/vieyang, https://github.com/neuhaus, https://github.com/mujdatdinc, https://github.com/aphexmunky, https://github.com/jasonbcox, https://github.com/tasinco, https://github.com/connorbode, https://github.com/m2Lower, https://github.com/jmininger, https://github.com/christroutner, https://github.com/tuxxy","DeFi, Smart Contracts, Three Arrows Capital Portfolio, Polychain Capital Portfolio, CMS Holdings Portfolio, DragonFly Capital Portfolio, Layer 1, Avalanche Ecosystem, Moonriver Ecosystem, Injective Ecosystem, PoS, Art, Government, Health, Platform, Sports, Enterprise Solutions, Gaming, Identity, Interoperability, Music, Payments, Scaling, Staking"
XLM,https://github.com/stellar/stellar-core,"C, C++, M4, Rust, Shell, Python","https://github.com/graydon, https://github.com/sisuresh, https://github.com/marta-lokhova, https://github.com/dmkozh, https://github.com/SirTyson, https://github.com/robertDurst, https://github.com/hidenori-shinohara, https://github.com/mfontanini, https://github.com/nullstyle, https://github.com/evanlimanto, https://github.com/bekkibolthouse, https://github.com/bartekn, https://github.com/JeremyRubin, https://github.com/FredericHeem, https://github.com/irisli, https://github.com/wanecek, https://github.com/MarcPow, https://github.com/rice2000, https://github.com/brahman81, https://github.com/TbLtzk, https://github.com/vladdoster, https://github.com/tsachiherman, https://github.com/C0x41lch0x41, https://github.com/2opremio, https://github.com/vcarl, https://github.com/Subho13, https://github.com/0xf00ff00f, https://github.com/gologo13, https://github.com/marcinx, https://github.com/ult-bobonovski, https://github.com/cballou, https://github.com/hbdgr, https://github.com/mfrg, https://github.com/sgehrman, https://github.com/syntaxval, https://github.com/dmichulke, https://github.com/J12D, https://github.com/kathyonu, https://github.com/gnunicorn, https://github.com/thosmos, https://github.com/MonsieurNicolas, https://github.com/vogel, https://github.com/jonjove, https://github.com/jedmccaleb, https://github.com/rokopt, https://github.com/jayz22, https://github.com/Geod24, https://github.com/leighmcculloch, https://github.com/alfiedotwtf, https://github.com/thejollyrogers, https://github.com/raymens, https://github.com/jacekn, https://github.com/sui77, https://github.com/santegoeds, https://github.com/JuI3s, https://github.com/codeck, https://github.com/AndrejMitrovic, https://github.com/katopz, https://github.com/msfeldstein, https://github.com/manran, https://github.com/mattjquinn, https://github.com/tamirms, https://github.com/MassimoTambu, https://github.com/BOPOHA, https://github.com/overcat, https://github.com/kylemccollom, https://github.com/0xKolten, https://github.com/theaeolianmachine, https://github.com/kodxl, https://github.com/He-Pin, https://github.com/Synesso, https://github.com/maxim-levy, https://github.com/nebolsin, https://github.com/phocks, https://github.com/nikhilsaraf, https://github.com/miniBill, https://github.com/tzdybal, https://github.com/damons, https://github.com/donovanhide, https://github.com/kevinji, https://github.com/matschaffer","Decentralized Exchange (DEX) Token, Smart Contracts, Hashkey Capital Portfolio, Medium of Exchange, Enterprise Solutions"
